graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,job,cell,kernel,symmetry,params,scale,runtime_sec
circulant_r3_n28,circulant_r3,28,11,28,4.0,0.0,4.0,4.0,0.0,0.1481481481481481,0.14814814814814814,2,10,2,2,10,10,12.111035127049728,4.440892098500626e-16,True,0,-1,1.3538165566025344,True,sum-free ILS in distance space O(n) vars,not_done,Z/28Z,numpy-openblas,data/adj/circulant_r3_n28.npy,0,0,0,0,0,0,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 28, ""S"": [10, 12, 16, 18], ""score"": 12.111035127049728}",local,
circulant_r3_n29,circulant_r3,29,9,29,6.0,0.0,6.0,6.0,0.0,0.2142857142857143,0.21428571428571427,2,8,2,2,8,8,11.644351076072192,3.6601327318659296,True,0,-1,1.4537464474156747,True,sum-free ILS in distance space O(n) vars,not_done,Z/29Z,numpy-openblas,data/adj/circulant_r3_n29.npy,0,1,1,0,0,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 29, ""S"": [2, 3, 11, 18, 26, 27], ""score"": 11.644351076072192}",local,
circulant_r3_n32,circulant_r3,32,10,32,7.0,0.0,7.0,7.0,0.0,0.22580645161290322,0.22580645161290322,2,9,2,2,9,9,13.333333333333334,4.152240934977426,True,0,-1,1.4142135623730951,True,sum-free ILS in distance space O(n) vars,not_done,Z/32Z,numpy-openblas,data/adj/circulant_r3_n32.npy,1,0,0,0,1,0,1,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 32, ""S"": [1, 5, 7, 16, 25, 27, 31], ""score"": 13.333333333333334}",local,
circulant_r3_n33,circulant_r3,33,13,33,8.0,0.0,8.0,8.0,0.0,0.25,0.25,2,12,2,2,12,12,13.936082197950064,4.262200270903483,True,0,-1,1.3086055702762218,True,sum-free ILS in distance space O(n) vars,not_done,Z/33Z,numpy-openblas,data/adj/circulant_r3_n33.npy,1,0,0,0,0,0,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 33, ""S"": [1, 10, 12, 15, 18, 21, 23, 32], ""score"": 13.936082197950064}",local,
circulant_r3_n35,circulant_r3,35,15,35,6.0,0.0,6.0,6.0,0.0,0.17647058823529416,0.17647058823529413,2,14,2,2,14,14,15.652475842498527,2.1421661398814824,True,0,-1,1.267470527946047,True,sum-free ILS in distance space O(n) vars,not_done,Z/35Z,numpy-openblas,data/adj/circulant_r3_n35.npy,0,0,0,0,0,1,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 35, ""S"": [6, 11, 16, 19, 24, 29], ""score"": 15.652475842498527}",local,
circulant_r3_n36,circulant_r3,36,14,36,6.0,0.0,6.0,6.0,0.0,0.17142857142857146,0.17142857142857143,2,13,2,2,13,13,15.923356452447862,1.7045236642079686,True,0,-1,1.2917083420907467,True,sum-free ILS in distance space O(n) vars,not_done,Z/36Z,numpy-openblas,data/adj/circulant_r3_n36.npy,0,0,1,0,1,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 36, ""S"": [3, 5, 14, 22, 31, 33], ""score"": 15.923356452447862}",local,
circulant_r3_n41,circulant_r3,41,13,41,8.0,0.0,8.0,8.0,0.0,0.19999999999999998,0.2,2,12,2,2,12,12,16.26133545578874,4.785795728583144,True,0,-1,1.330639148718466,True,sum-free ILS in distance space O(n) vars,not_done,Z/41Z,numpy-openblas,data/adj/circulant_r3_n41.npy,0,0,0,0,1,0,0,0,1,0,2c,"R(3,k)",fft,circulant,"{""n"": 41, ""S"": [5, 9, 11, 17, 24, 30, 32, 36], ""score"": 16.26133545578874}",local,
circulant_r3_n47,circulant_r3,47,13,47,10.0,0.0,10.0,10.0,0.0,0.21739130434782608,0.21739130434782608,2,12,2,2,12,12,17.950376562517256,6.0927771361875775,True,0,-1,1.3446922818258509,True,sum-free ILS in distance space O(n) vars,not_done,Z/47Z,numpy-openblas,data/adj/circulant_r3_n47.npy,0,0,0,1,1,1,1,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 47, ""S"": [4, 5, 6, 7, 22, 25, 40, 41, 42, 43], ""score"": 17.950376562517256}",local,
circulant_r3_t12_n51,circulant_r3,51,14,12,8.0,0.0,8.0,8.0,0.0,0.0,0.0,,,2,51,13,13,0.0,0.0,False,0,0,1.3242479164389231,False,incremental Schur + residual MIS,not_done,Z/51Z,numpy-openblas,data/adj/circulant_r3_t12_n51.npy,0,0,0,0,0,0,0,0,0,0,4b,"R(3,k)",bitset-mis,circulant,"{""n"": 51, ""t"": 12, ""S"": [13, 18, 22, 24, 27, 29, 33, 38]}",local,
circulant_r4_n17,circulant_r4,17,4,17,8.0,0.0,8.0,8.0,0.0,0.5,0.5,3,3,3,3,3,3,4.12310562561766,6.438447187191169,True,68,-1,2.0305431848689306,True,K4-free neighbourhood ILS + FFT Hoffman,not_done,Z/17Z,numpy-openblas,data/adj/circulant_r4_n17.npy,0,0,1,0,1,1,1,0,0,1,3b,"R(4,k)",fft,circulant,"{""n"": 17, ""S"": [3, 5, 6, 7, 10, 11, 12, 14], ""k4_free"": true, ""score"": 4.123105625617661}",local,
