graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,runtime_sec,params
generalized_paley_p139_k3,generalized_paley,139,20,139,46.0,0.0,46.0,46.0,0.0,0.3333333333333333,0.3333333333333333,,,4,6,10,19,20.96782589029383,41.91048786897419,True,12788,-1,1.2798254438713754,False,outer_diff + kth_power_residue,not_done,F_139,numpy-openblas,data/adj/generalized_paley_p139_k3.npy,1,0,0,0,0,1,0,1,0,1,0.0013,"{""p"": 139, ""k"": 3}"
generalized_paley_p151_k3,generalized_paley,151,13,151,50.0,0.0,50.0,50.0,0.0,0.3333333333333333,0.3333333333333333,,,5,9,10,12,16.017404382223592,42.35511296770183,True,22650,-1,1.4710031791471947,False,outer_diff + kth_power_residue,not_done,F_151,numpy-openblas,data/adj/generalized_paley_p151_k3.npy,1,0,1,0,0,0,0,1,1,0,0.0015,"{""p"": 151, ""k"": 3}"
generalized_paley_p157_k3,generalized_paley,157,16,157,52.0,0.0,52.0,52.0,0.0,0.3333333333333333,0.3333333333333333,,,5,7,10,15,21.490410030519275,46.05982024573117,True,20410,-1,1.3716513279162033,False,outer_diff + kth_power_residue,not_done,F_157,numpy-openblas,data/adj/generalized_paley_p157_k3.npy,1,1,0,1,0,0,1,1,0,0,0.0016,"{""p"": 157, ""k"": 3}"
generalized_paley_p163_k3,generalized_paley,163,13,163,54.0,0.0,54.0,54.0,0.0,0.3333333333333333,0.3333333333333333,,,6,11,10,12,14.021242531193522,45.84175333128786,True,29340,-1,1.479681613357961,False,outer_diff + kth_power_residue,not_done,F_163,numpy-openblas,data/adj/generalized_paley_p163_k3.npy,1,0,0,0,1,1,0,1,0,0,0.0019,"{""p"": 163, ""k"": 3}"
generalized_paley_p181_k3,generalized_paley,181,15,181,60.0,0.0,60.0,60.0,0.0,0.3333333333333333,0.3333333333333333,,,5,8,10,14,20.534280480171457,52.20283953600814,True,36200,-1,1.4142034910461767,False,outer_diff + kth_power_residue,not_done,F_181,numpy-openblas,data/adj/generalized_paley_p181_k3.npy,1,0,0,0,1,1,1,1,0,0,0.0024,"{""p"": 181, ""k"": 3}"
generalized_paley_p17_k4,generalized_paley,17,7,17,4.0,0.0,4.0,4.0,0.0,0.25,0.25,2,6,2,2,6,6,7.153067017054691,1.9505188222646832,True,0,0,1.498919872071562,True,outer_diff + kth_power_residue,not_done,F_17,numpy-openblas,data/adj/generalized_paley_p17_k4.npy,1,0,0,1,0,0,0,0,0,0,0.0005,"{""p"": 17, ""k"": 4}"
generalized_paley_p41_k4,generalized_paley,41,10,41,10.0,0.0,10.0,10.0,0.0,0.25,0.25,,,2,3,9,9,13.43116585609998,7.589479655909702,True,0,0,1.4497008237135636,False,outer_diff + kth_power_residue,not_done,F_41,numpy-openblas,data/adj/generalized_paley_p41_k4.npy,1,0,0,1,0,0,0,0,0,1,0.001,"{""p"": 41, ""k"": 4}"
generalized_paley_p73_k4,generalized_paley,73,12,73,18.0,0.0,18.0,18.0,0.0,0.25,0.25,,,3,4,11,11,15.41719255380333,12.602731286286794,True,1095,-1,1.429805308016175,False,outer_diff + kth_power_residue,not_done,F_73,numpy-openblas,data/adj/generalized_paley_p73_k4.npy,1,1,0,1,0,0,0,1,1,0,0.0005,"{""p"": 73, ""k"": 4}"
generalized_paley_p89_k4,generalized_paley,89,14,89,22.0,0.0,22.0,22.0,0.0,0.25,0.25,,,3,4,13,13,20.858145986621953,17.604856122980944,True,979,-1,1.3779775538868355,False,outer_diff + kth_power_residue,not_done,F_89,numpy-openblas,data/adj/generalized_paley_p89_k4.npy,1,1,0,1,0,0,0,1,0,0,0.0007,"{""p"": 89, ""k"": 4}"
generalized_paley_p97_k4,generalized_paley,97,19,97,24.0,0.0,24.0,24.0,0.0,0.25,0.25,,,3,4,15,18,23.164075815393968,20.765516028837713,True,776,-1,1.272233811408365,False,outer_diff + kth_power_residue,not_done,F_97,numpy-openblas,data/adj/generalized_paley_p97_k4.npy,1,0,0,1,0,1,0,0,1,0,0.0008,"{""p"": 97, ""k"": 4}"
